발표일,시간,실제,예측,이전,Unnamed: 5
2025년 03월 13일 (3월),00:00,54.02,,55.34,
2025년 02월 13일 (2월),01:00,55.34,,54.43,
2025년 01월 09일 (1월),01:00,54.43,,57.59,
2024년 12월 12일 (12월),01:00,57.59,,55.71,
2024년 11월 14일 (11월),01:00,55.71,,55.63,
2024년 10월 10일 (10월),00:00,55.63,,55.02,
