발표일,시간,실제,예측,이전,Unnamed: 5
2025년 03월 13일 (3월),00:00,45.47,,46.09,
2025년 02월 13일 (2월),01:00,46.09,,45.47,
2025년 01월 09일 (1월),01:00,45.47,,48.24,
2024년 12월 12일 (12월),01:00,48.24,,49.72,
2024년 11월 14일 (11월),01:00,49.72,,48.41,
2024년 10월 10일 (10월),00:00,48.41,,49.48,
